nov 1/17:32:10.243 DEBUG2 : 		WriteTarget32 Address=0x40023808 Data=0x00000000
nov 1/17:32:10.243 DEBUG2 : 		WriteTarget32 Address=0x40023800 Data=0x00010083
nov 1/17:32:10.243 DEBUG2 : 		WriteTarget32 Address=0x4002380C Data=0x00000000
nov 1/17:32:10.244 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.286 DEBUG2 : 		WriteTarget32 Address=0x20000000 Data=0x20020000
nov 1/17:32:10.286 DEBUG2 : 		WriteTarget32 Address=0x20000040 Data=0x4C1EB51C
nov 1/17:32:10.296 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.296 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.296 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.299 DEBUG2 : 		STLinkWriteReg
nov 1/17:32:10.299 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.302 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.302 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.302 DEBUG2 : 		STLinkWriteReg
nov 1/17:32:10.303 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.305 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.305 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.305 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.305 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.305 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.305 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.305 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.305 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.305 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.305 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.305 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.305 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.305 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.305 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.305 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.305 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.305 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.305 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.305 DEBUG2 : 		STLinkWriteReg
nov 1/17:32:10.305 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.306 DEBUG2 : 		WriteTarget32 Address=0xE000EDFC Data=0x01000000
nov 1/17:32:10.306 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.306 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.309 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.311 DEBUG2 : 		WriteTarget32 Address=0x2001EF98 Data=0x00000000
nov 1/17:32:10.312 DEBUG2 : 		WriteTarget32 Address=0x2001EF84 Data=0x08000000
nov 1/17:32:10.312 DEBUG2 : 		STLinkWriteReg
nov 1/17:32:10.312 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.315 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.315 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.315 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.315 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.315 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.315 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.315 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.315 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.315 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.315 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.315 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.315 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.315 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.315 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.315 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.315 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.315 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.315 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.315 DEBUG2 : 		STLinkWriteReg
nov 1/17:32:10.316 DEBUG2 : 		ReadTarget16
nov 1/17:32:10.316 DEBUG2 : 		SetCodeBreak
nov 1/17:32:10.316 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.319 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.321 DEBUG2 : 		ReadTarget16
nov 1/17:32:10.322 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.322 DEBUG2 : 		WriteTarget32 Address=0xE000EDFC Data=0x01000000
nov 1/17:32:10.323 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.323 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.323 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.323 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.324 DEBUG2 : 		WriteTarget32 Address=0xE000EDFC Data=0x01000000
nov 1/17:32:10.324 DEBUG2 : 		WriteTarget32 Address=0xE0001028 Data=0x00000000
nov 1/17:32:10.324 DEBUG2 : 		WriteTarget32 Address=0xE0001038 Data=0x00000000
nov 1/17:32:10.325 DEBUG2 : 		WriteTarget32 Address=0xE0001048 Data=0x00000000
nov 1/17:32:10.325 DEBUG2 : 		WriteTarget32 Address=0xE0001058 Data=0x00000000
nov 1/17:32:10.325 DEBUG2 : 		Go >
nov 1/17:32:10.327 DEBUG2 : 		Go <
nov 1/17:32:10.329 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.331 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.331 DEBUG2 : 		WriteTarget32 Address=0xE000EDFC Data=0x01000000
nov 1/17:32:10.332 DEBUG2 : 		WriteTarget32 Address=0xE0001028 Data=0x00000000
nov 1/17:32:10.332 DEBUG2 : 		WriteTarget32 Address=0xE0001038 Data=0x00000000
nov 1/17:32:10.332 DEBUG2 : 		WriteTarget32 Address=0xE0001048 Data=0x00000000
nov 1/17:32:10.332 DEBUG2 : 		WriteTarget32 Address=0xE0001058 Data=0x00000000
nov 1/17:32:10.333 DEBUG2 : 		STLinkReadReg
nov 1/17:32:10.335 DEBUG2 : 		ReadTarget16
nov 1/17:32:10.336 DEBUG2 : 		ReadTarget32
nov 1/17:32:10.336 DEBUG2 : 		WriteTarget32 Address=0x20000400 Data=0x08000000
nov 1/17:32:10.337 DEBUG2 : 		WriteTarget32 Address=0x2001EF84 Data=0x00000000
nov 1/17:32:10.337 DEBUG2 : 		STLinkWriteReg
nov 1/17:32:10.338 DEBUG2 : 		STLinkReadReg
